"State,County Name, High School Diploma Only Rate 2012 - 2016, Average Unemployment Rate 2012 - 2016"
GA,Randolph County,31.5,10.38
GA,Richmond County,30.8,9.28
GA,Rockdale County,32.2,9.66
GA,Schley County,33.9,8.02
GA,Screven County,40.5,7.78
GA,Seminole County,39.3,9.64
GA,Spalding County,38.0,8.38
GA,Stephens County,37.3,10.36
GA,Stewart County,35.3,6.88
GA,Sumter County,31.3,10.36
GA,Talbot County,44.9,10.04
GA,Taliaferro County,45.4,8.64
GA,Tattnall County,38.6,8.12
GA,Taylor County,35.8,7.46
GA,Telfair County,48.0,9.88
GA,Terrell County,29.5,9.18
GA,Thomas County,32.8,10.62
GA,Tift County,34.5,7.36
GA,Toombs County,39.3,8.62
GA,Towns County,31.9,11.48
GA,Treutlen County,39.5,6.6
GA,Troup County,35.5,8.56
GA,Turner County,36.5,7.18
GA,Twiggs County,35.9,6.64
GA,Union County,35.1,7.96
GA,Upson County,36.3,10.32
GA,Walker County,36.7,8.26
GA,Walton County,36.6,8.6
GA,Ware County,40.9,9.1
GA,Warren County,44.5,11.64
GA,Washington County,40.7,6.38
GA,Wayne County,40.5,8.02
GA,Webster County,44.8,9.4
GA,Wheeler County,53.4,9.26
GA,White County,31.5,8.74
GA,Whitfield County,28.5,8.0
GA,Wilkes County,42.0,5.64
GA,Wilkinson County,50.1,3.94
GA,Worth County,40.7,5.0
HI,Honolulu County,26.2,4.58
HI,Kalawao County,36.9,10.7
HI,Kauai County,31.1,4.98
HI,Maui County,31.5,4.94
ID,Ada County,21.8,4.88
ID,Adams County,37.7,4.86
ID,Bannock County,26.5,7.12
ID,Bear Lake County,39.0,7.58
ID,Benewah County,38.7,4.64
ID,Bingham County,30.5,6.94
ID,Blaine County,19.5,5.92
ID,Boise County,27.7,5.74
ID,Bonner County,30.5,6.38
ID,Bonneville County,26.9,4.66
ID,Boundary County,37.7,4.26
ID,Butte County,35.1,5.2
ID,Camas County,29.4,9.7
ID,Canyon County,32.3,7.1
ID,Caribou County,35.9,5.72
ID,Cassia County,28.4,3.64
ID,Clark County,31.7,4.58
ID,Clearwater County,36.8,6.58
ID,Custer County,31.0,4.32
ID,Elmore County,27.8,8.04
ID,Franklin County,32.5,4.5
ID,Fremont County,33.9,4.36
ID,Gem County,39.8,6.3
ID,Gooding County,33.4,4.4
ID,Idaho County,37.1,8.04
ID,Jefferson County,29.5,5.46
ID,Jerome County,29.8,6.4
ID,Kootenai County,28.0,3.46
ID,Latah County,20.1,4.68
ID,Lemhi County,33.4,4.44
ID,Lewis County,34.4,4.14
ID,Lincoln County,35.8,4.26
ID,Madison County,15.1,5.94
ID,Minidoka County,29.1,5.68
ID,Nez Perce County,31.6,10.06
ID,Oneida County,37.8,4.42
ID,Owyhee County,37.1,4.82
ID,Payette County,33.9,8.08
ID,Power County,36.8,6.8
ID,Teton County,19.3,5.66
ID,Twin Falls County,29.3,10.7
